ctoi_alias,pl_pnum,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
31858843.01,1,1,289.479212,-32.860124,-16.778,-31.803,2460147.378764,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,10.4293,197.996,5703.0,4.25824,1.22
92352620.01,1,1,313.783239,-34.135751,26.376,-44.947,2460176.993334,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,9.6433,211.211,6153.0,4.18077,1.71
120247528.01,1,1,280.184169,-58.459388,-27.094,-30.897,2458655.394059,3.5544026,2.0550535,10164.8753396,13.200677,515.0014435,1214.9876435,11.5803,290.198,5639.0,4.37172,1.11499
158297421.01,1,1,287.484402,-49.664942,3.827,4.878,2459036.472812,3.9228016,1.8736007,31510.9004906,13.3368705,91.167589,788.0973496,13.6699,300.67,4444.0,4.438,0.6983
351601843.01,1,1,309.971209,-65.449699,-99.737,-59.95,2458654.249503,0.6047392,1.0403847,1027.6833479,1.8625587,528.0253155,1222.5973095,11.1186,61.4592,4046.0,4.60963,0.580337
360742636.01,1,1,294.633694,-55.330269,5.382,-38.112,2458654.163257,2.5495611,2.6173308,14921.4021936,12.9171288,757.1284067,1337.8645148,11.2474,248.46,5659.0,4.44653,1.03997
289793076.01,1,1,316.96148,-26.09672,3.479,-10.313,2458328.08383,3.0440541,2.5984575,22236.0165376,12.1086799,315.9871326,1075.3184542,13.163,421.855,5523.0,4.52192,0.809868
380589029.01,1,1,268.890707,-61.7474,1.031,-17.577,2458653.973305,1.3484961,2.4074261,18463.7636682,15.8824638,2706.9606225,1839.6713042,12.2851,494.182,6346.0,4.38484,1.14759
426077080.01,1,0,238.001011,-76.49349,-5.338,-9.267,2458630.77194,9.30992,3.464,2220.0,14.2968,215.208,1067.0,9.4142,416.25,6907.0,3.63,3.09
343648136.01,1,0,272.311383,-76.300955,-23.549,-45.079,2458626.38955,1.15395,2.236,1550.0,5.48364,3534.3,2148.0,10.4613,240.901,6093.0,4.2,1.4
29344935.01,1,1,313.215475,-25.687376,1.053,-9.881,2458326.127479,2.76676,2.6872178,14947.4387827,12.2867389,505.8840075,1209.5741229,13.2366,513.011,5346.0,4.48823,0.984866
361034196.01,1,0,242.016315,-68.588832,5.989,2.514,2458628.96316,2.19296,4.586,4933.74,22.7769,31883.5,3722.0,10.0196,566.502,7009.8,3.6,2.95
375225453.01,1,0,133.826684,-73.173308,-21.883,19.084,2459307.93577,0.9209526,1.8602735,360.8801529,5.7349089,32740.3629399,3430.7622437,10.11,490.288,6553.0,3.65,2.8908899
360630575.01,1,1,189.775859,-74.57402,-50.359,-6.874,2459376.410518,9.188506,2.492,460.0,2.16591,63.4589,786.0,8.7215,79.5561,5876.0,4.48,0.98
360630575.02,2,1,189.775859,-74.57402,-50.359,-6.874,2459344.461827,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,8.7215,79.5561,5876.0,4.48,0.983215
383390264.01,1,1,192.589285,-88.121111,-18.776,-18.086,2458629.909082,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,8.7581,105.096,6153.0,4.34814,1.14582
290348383.01,1,1,328.718171,-77.338802,224.864,-186.625,2460140.220927,6.441006,1.812,914.0,2.56374,87.8902,853.0,7.3661,23.606,4867.0,4.438,0.8
281459670.01,1,1,5.618525,-59.942589,-22.309,-4.893,2458328.039934,3.1743504,2.751086,15457.3247576,14.9172256,718.9096994,1320.6518234,11.6714,342.14,5943.0,4.42524,1.15706
318608749.01,1,0,9.126138,-83.567067,-0.23,1.169,2459044.494531,20.0731588,3.8449215,1152.9645461,4.0506906,69.3993155,736.1368293,10.5135,205.43,6033.0,4.37,1.14849
271581073.01,1,0,319.551469,-77.529113,16.363,-5.515,2459058.79277,2.66903,1.548,3110.0,9.36823,429.86,1268.0,10.5891,262.794,5803.5,4.07,1.56
311890977.01,1,0,263.003209,-76.858265,-33.273,-100.013,2458627.80423,6.63371,2.122,1555.34,2.75375,22.9987,610.0,10.5652,58.0624,4138.1,4.54,0.63
394561119.01,1,1,155.607863,-82.218869,9.065,2.896,2459336.073646,4.0782392,4.8475616,6046.6959687,13.898174,1619.0081232,1617.8267296,10.0068,281.314,6501.0,4.08,1.74836
50309953.01,1,0,30.198486,-77.610376,58.003,-33.25,2459083.35168,7.04083,2.979,1580.0,8.46404,852.336,1505.0,9.7906,102.238,5317.0,4.49,0.91
355703913.01,1,1,0.774487,-62.469317,2.894,4.911,2458326.105486,2.1061569,1.4688934,12142.2238514,13.086872,691.8428073,1308.0417533,13.183,508.842,5380.0,4.4337,0.940697
446549905.01,1,0,286.791829,-58.697242,3.879,-6.843,2460146.990136,2.4545635,2.321,4248.0,11.1276,2162.73,1899.0,9.6789,243.838,6610.0,4.15,1.64
412014494.01,1,0,291.373783,-60.941042,15.517,-8.387,2460131.889805,11.4756978,0.808,8341.0,14.1098,11.4585,512.0,9.3871,312.461,7262.0,4.0,2.13
